Vards,Partija,Apgabals,Numurs
Dace Melbārde,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,1
Anita Muižniece,Jaunā konservatīvā partija,Vidzeme,5
Ināra Mūrniece,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,2
Romāns Naudiņš,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,5
Ralfs Nemiro,"Politiskā partija ""KPV LV""",Zemgale,2
Vladimirs Nikonovs,"""Saskaņa"" sociāldemokrātiskā partija",Latgale,6
Vitālijs Orlovs,"""Saskaņa"" sociāldemokrātiskā partija",Zemgale,2
Linda Ozola,Jaunā konservatīvā partija,Rīga,3
Artis Pabriks,Attīstībai/Par!,Vidzeme,1
Evija Papule,"""Saskaņa"" sociāldemokrātiskā partija",Vidzeme,1
Daniels Pavļuts,Attīstībai/Par!,Rīga,1
Ramona Petraviča,"Politiskā partija ""KPV LV""",Kurzeme,2
Igors Pimenovs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,17
Artūrs Toms Plešs,Attīstībai/Par!,Zemgale,4
Ēriks Pucens,"Politiskā partija ""KPV LV""",Kurzeme,3
Ivars Puga,"Politiskā partija ""KPV LV""",Rīga,37
Juris Pūce,Attīstībai/Par!,Kurzeme,1
Juris Rancāns,Jaunā konservatīvā partija,Latgale,5
Jānis Reirs,Jaunā VIENOTĪBA,Zemgale,1
Dana Reizniece-Ozola,Zaļo un Zemnieku savienība,Rīga,1
Ivans Ribakovs,"""Saskaņa"" sociāldemokrātiskā partija",Latgale,4
Sandis Riekstiņš,Jaunā konservatīvā partija,Zemgale,2
Edgars Rinkēvičs,Jaunā VIENOTĪBA,Rīga,1
Inguna Rībena,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale,3
Artūrs Rubiks,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,16
Dace Rukšāne-Ščipčinska,Attīstībai/Par!,Vidzeme,3
Andris Skride,Attīstībai/Par!,Vidzeme,2
Karina Sprūde,"Politiskā partija ""KPV LV""",Vidzeme,9
Mārtiņš Staķis,Attīstībai/Par!,Rīga,2
Jūlija Stepaņenko,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,10
Juta Strīķe,Jaunā konservatīvā partija,Rīga,1
Didzis Šmits,"Politiskā partija ""KPV LV""",Rīga,3
Edvīns Šnore,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale,1
Ilga Šuplinska,Jaunā konservatīvā partija,Latgale,1
Ļubova Švecova,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,8
Edmunds Teirumnieks,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Latgale,1
Vita Anda Tērauda,Attīstībai/Par!,Rīga,3
Jānis Tutins,"""Saskaņa"" sociāldemokrātiskā partija",Latgale,5
Jānis Urbanovičs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,2
Viktors Valainis,Zaļo un Zemnieku savienība,Zemgale,7
Jānis Vitenbergs,"Politiskā partija ""KPV LV""",Zemgale,7
Inese Voika,Attīstībai/Par!,Rīga,7
Jānis Vucāns,Zaļo un Zemnieku savienība,Kurzeme,5
Atis Zakatistovs,"Politiskā partija ""KPV LV""",Kurzeme,1
Ivars Zariņš,"""Saskaņa"" sociāldemokrātiskā partija",Zemgale,1
Evita Zālīte-Grosa,Jaunā konservatīvā partija,Vidzeme,3
Reinis Znotiņš,Jaunā konservatīvā partija,Rīga,5
Normunds Žunna,Jaunā konservatīvā partija,Vidzeme,4
