Saraksts,Partija,Vards,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,Jaunā VIENOTĪBA,Emīls Dālderis,Male,Rīga,33,1993,AS Swedbank,Biznesa analītiķis
1,Jaunā VIENOTĪBA,Ints Dālderis,Male,Vidzeme,7,1971,LR Finanšu ministrija,Finanšu ministra padomnieks
1,Jaunā VIENOTĪBA,Dāvis Dejus,Male,Rīga,29,2001,Students,
1,Jaunā VIENOTĪBA,Inese Didže,Female,Zemgale,11,1959,Dobeles Valsts ģimnāzija,direktore
1,Jaunā VIENOTĪBA,Judīte Dobele,Female,Zemgale,8,1962,Pensionāre,
1,Jaunā VIENOTĪBA,Gunita Draveniece,Female,Zemgale,13,1969,Jelgavas Valsts ģimnāzija,Skolotāja
1,Jaunā VIENOTĪBA,Ilmārs Reinholds Drēziņš,Male,Vidzeme,27,1930,Rīgas valstspilsētas pašvaldības Mājokļu un vides departaments,"Galvenais speciālists - būvniecības tāmētājs, būvinženieris-eksperts"
1,Jaunā VIENOTĪBA,Juris Erts,Male,Latgale,9,1970,Jāņa Eglīša Preiļu Valsts ģimnāzija,"Direktores vietnieks informātikas jautājumos, programmēšanas skolotājs"
1,Jaunā VIENOTĪBA,Mārtiņš Felss,Male,Zemgale,9,1984,LPKS LATRAPS,Aizkraukles-Jēkabpils reģiona vadītājs
1,Jaunā VIENOTĪBA,Arnita Gaiduka,Female,Latgale,6,1980,Balvu profesionālā un vispārizglītojošā vidusskola,"Sabiedrisko attiecību speciālists, angļu valodas skolotāja"
1,Jaunā VIENOTĪBA,Andis Geižāns,Male,Rīga,37,1976,Latvijas Universitātes Informāciju un tehnoloģiju departaments,direktors
1,Jaunā VIENOTĪBA,Alīna Gendele,Female,Latgale,3,1959,Latvijas Republikas Saeima,Deputāte
1,Jaunā VIENOTĪBA,Dmitrijs Golubevs,Male,Rīga,24,1983,SIA X8,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Jānis Grahoļskis,Male,Kurzeme,7,1964,INGRID D. AS,valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Viktorija Anna Graudiņa,Female,Vidzeme,26,1986,Korporatīvās un vizuālās komunikācijas aģentūra,valdes locekle
1,Jaunā VIENOTĪBA,Lolita Greitāne,Female,Latgale,11,1964,Ludzas Mūzikas pamatskola,Direktore
1,Jaunā VIENOTĪBA,Edgars Jākobsons,Male,Rīga,18,1984,"Sia ""Trafonet""",Vadītājs
1,Jaunā VIENOTĪBA,Andris Jefimovs,Male,Kurzeme,11,1986,Dienvidkurzemes novada pašvaldība,"Domes deputāts,Ugunsdzēsības dienesta vadītājs"
1,Jaunā VIENOTĪBA,Santa Jermičuka,Female,Vidzeme,19,1969,"PA ''Līgatnes Kultūras un tūrisma centrs""",Tūrisma informācijas centra vadītāja un aģentūras direktora p.i.
1,Jaunā VIENOTĪBA,Kristīne Jučkoviča,Female,Rīga,26,1975,Latvijas Farmaceitiskās aprūpes asociācija,izpilddirektore
1,Jaunā VIENOTĪBA,Andrejs Judins,Male,Rīga,3,1970,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Edmunds Jurēvics,Male,Rīga,39,1992,Rīgas valstspilsētas pašvaldība,Rīgas domes priekšsēdētāja vietnieka V.Ķirša padomnieks
1,Jaunā VIENOTĪBA,Inese Kalniņa,Female,Rīga,22,1967,Latvijas Universitate,Docente
1,Jaunā VIENOTĪBA,Irma Kalniņa,Female,Rīga,14,1950,SIA Irmas Kalniņas konsultācija,valdes locekle
1,Jaunā VIENOTĪBA,Zanda Kalniņa-Lukaševica,Female,Rīga,5,1978,LR Ārlietu ministrija,Parlamentārā sekretāre
1,Jaunā VIENOTĪBA,Edvīns Kalviņš,Male,Rīga,28,1949,"Kanādas Tirdzniecības Palāta Latvijā""",Valdes loceklis
1,Jaunā VIENOTĪBA,Arturs Krišjānis Kariņš,Male,Vidzeme,1,1964,Valsts kanceleja,Latvijas Republikas Ministru prezidents
1,Jaunā VIENOTĪBA,Inna Kislina,Female,Kurzeme,8,1966,J.Rozentāla Saldus vēstures un mākslas muzejs,Direktora vietniece
1,Jaunā VIENOTĪBA,Nellija Kleinberga,Female,Kurzeme,15,1964,SIA Saldus medicīnas centrs,valdes priekšsēdētāja
1,Jaunā VIENOTĪBA,Sergejs Kovaļovs,Male,Zemgale,12,1975,Latvijas Futbola federācija,Viceprezidents
1,Jaunā VIENOTĪBA,Rihards Kozlovskis,Male,Latgale,1,1969,Latvijas Republikas Saeima,deputāts
1,Jaunā VIENOTĪBA,Agnese Krasta,Female,Rīga,11,1986,"Valsts kanceleja, Ministru prezidenta birojs",Ministru prezidenta padomniece juridiskajos jautājumos
1,Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,Male,Kurzeme,5,1962,Ventspils brīvostas pārvalde,valdes loceklis
1,Jaunā VIENOTĪBA,Ojārs Krūmiņš,Male,Vidzeme,24,1990,OJC Systems SIA,Vadītājs
1,Jaunā VIENOTĪBA,Atis Labucis,Male,Vidzeme,15,1986,Latvijas Hidroekoloģijas institūts,"Pētnieks, zinātniskais asistents"
1,Jaunā VIENOTĪBA,Edgars Laimiņš,Male,Zemgale,6,1976,Dobeles novada pašvaldība,Domes priekšsēdētāja vietnieks
1,Jaunā VIENOTĪBA,Ainars Latkovskis,Male,Vidzeme,3,1967,Latvijas Republikas Saeima,"Deputāts, frakcijas ""Jaunā Vienotība"" priekšsēdētājs"
1,Jaunā VIENOTĪBA,Jānis Lazdāns,Male,Rīga,27,1972,Polijas - Latvijas tirdzniecības kamera,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Gatis Liepiņš,Male,Rīga,15,1989,Rīgas valstspilsētas pašvaldība,Rīgas domes priekšsēdētāja vietnieka V. Ķirša padomnieks
1,Jaunā VIENOTĪBA,Intars Liepiņš,Male,Vidzeme,23,1982,Gulbenes novada pašvaldība,Gulbenes novada domes deputāts
1,Jaunā VIENOTĪBA,Mārtiņš Limanskis,Male,Zemgale,5,1985,"SIA ""IKU Eduards""",komercdarbības speciālists
1,Jaunā VIENOTĪBA,Inese Lībiņa-Egnere,Female,Rīga,2,1977,Latvijas Republikas Saeima,13. Saeimas deputāte
1,Jaunā VIENOTĪBA,Māris Luste,Male,Rīga,23,1973,Ieslodzījuma vietu pārvalde,ESF projektu vadītājs
1,Jaunā VIENOTĪBA,Edgars Lūks,Male,Kurzeme,12,1988,AE Lux,Valdes loceklis
1,Jaunā VIENOTĪBA,Renārs Manuilovs,Male,Zemgale,14,1983,Bezdarbnieks,
1,Jaunā VIENOTĪBA,Laura Martinova,Female,Rīga,38,1990,Veselības inspekcija,Inspektore
1,Jaunā VIENOTĪBA,Roberts Matulis,Male,Rīga,32,1991,SIA RM DEALS,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Aleksandrs Mironovs,Male,Latgale,14,2000,Vienotības Jaunatnes organizācija,ārlietu sekretārs un valdes loceklis
1,Jaunā VIENOTĪBA,Mārtiņš Neilands,Male,Vidzeme,17,1990,Rīgas Nami,Būvniecības projektu vadītājs
1,Jaunā VIENOTĪBA,Jogita Ozola,Female,Rīga,31,1978,Rīgas domes Pašvaldības ieņēmumu pārvalde,Aprēķināšanas nodaļas Zemgales priekšpilsētas sektora eksperte
1,Jaunā VIENOTĪBA,Ričards Aksels Ozoliņš,Male,Rīga,17,1997,"SIA ""Getliņi EKO""",Ārējās komunikācijas vadītājs
1,Jaunā VIENOTĪBA,Jānis Patmalnieks,Male,Rīga,12,1980,Valsts Kanceleja,Ministru prezidenta Krišjāņa Kariņa biroja vadītājs
1,Jaunā VIENOTĪBA,Jānis Paulovičs,Male,Vidzeme,12,1981,ZS Plakupu,Īpašnieks
1,Jaunā VIENOTĪBA,Dainis Platacis,Male,Latgale,5,1963,Dagdas Kultūras centra Andrupenes Tautas nams,Pasākumu organizators
1,Jaunā VIENOTĪBA,Maruta Plivda,Female,Latgale,4,1970,SIA Latgales Finanšu Konsultācijas,vecākais grāmatvedis-finansists
1,Jaunā VIENOTĪBA,Karina Ploka,Female,Rīga,6,1975,Finanšu ministrija,Ministra padomniece
1,Jaunā VIENOTĪBA,Guntars Račs,Male,Kurzeme,3,1965,"SIA ""Izdevniecība MicRec""",Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Anna Rancāne,Female,Latgale,2,1959,Rēzeknes novada pašvaldība,Mājaslapas satura redaktore
1,Jaunā VIENOTĪBA,Silvija Reinberga,Female,Vidzeme,25,1997,Latvijas Republikas Saeima,Konsultante
1,Jaunā VIENOTĪBA,Jānis Reirs,Male,Zemgale,1,1961,Valsts kanceleja,Finanšu ministrs
1,Jaunā VIENOTĪBA,Edgars Rinkēvičs,Male,Rīga,1,1973,Ministru kabinets (Valsts kanceleja),Ārlietu ministrs
1,Jaunā VIENOTĪBA,Uģis Rotbergs,Male,Rīga,10,1961,Pasaules Dabas Fonds,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Māris Rozenbergs,Male,Kurzeme,14,1978,LM AUTO SIA,Prokūrists
1,Jaunā VIENOTĪBA,Aigars Rublis,Male,Zemgale,4,1977,Nodarbinātības valsts aģentūra,Jelgavas filiāles vadītājs
1,Jaunā VIENOTĪBA,Linards Rundāns,Male,Rīga,35,1994,"SIA ""AUTEKO & TUV LATVIJA""",tehniskās kontroles speciālists
1,Jaunā VIENOTĪBA,Leonīds Salcevičs,Male,Zemgale,3,1954,Jēkabpils novada dome,Deputāts
1,Jaunā VIENOTĪBA,Ansis Saliņš,Male,Zemgale,16,1983,ZS Iesalnieki 1,Vadītājs
1,Jaunā VIENOTĪBA,Evika Siliņa,Female,Vidzeme,2,1975,Valsts kanceleja,Ministru prezidenta parlamentārā sekretāre
1,Jaunā VIENOTĪBA,Jānis Skrastiņš,Male,Vidzeme,5,1970,Valmieras novada dome,Deputāts.
1,Jaunā VIENOTĪBA,Zane Skujiņa,Female,Rīga,13,1993,Latvijas Paralimpiskā komiteja,Projektu vadītāja un sabiedrisko attiecību vadītāja
1,Jaunā VIENOTĪBA,Jānis Skulte,Male,Vidzeme,20,1976,4Plus sia,Iepirkšanas vadītājs
1,Jaunā VIENOTĪBA,Terēze Stālmane,Female,Vidzeme,22,1993,Vidzemes Tehnoloģiju un dizaina tehnikums,"Skolotāja, projektu vadītāja"
1,Jaunā VIENOTĪBA,Kārlis Strautiņš,Male,Kurzeme,4,1978,"Liepājas Valsts pilsētas izglītības pārvalde, Liepājas Raiņa 6. vidusskola",Direktors
1,Jaunā VIENOTĪBA,Santa Survila,Female,Rīga,16,1969,"Latvijas miopātijas asociācija ""Sartorius""",valdes prezidente
1,Jaunā VIENOTĪBA,Ainārs Sviklis,Male,Zemgale,10,1965,Valsts izglītības satura centrs,Risinājumu attīstības vadītājs
1,Jaunā VIENOTĪBA,Kārlis Šadurskis,Male,Rīga,4,1959,Latvijas Republikas Saeima,deputāts
1,Jaunā VIENOTĪBA,Dace Šēle,Female,Kurzeme,10,1982,"Kuldīgas novada pašvaldības iestāde ""Kuldīgas attīstības aģentūra""",vadītāja
1,Jaunā VIENOTĪBA,Didzis Šēnbergs,Male,Vidzeme,28,1979,Publiskās atmiņas centrs,vēsturnieks
1,Jaunā VIENOTĪBA,Jānis Šiliņš,Male,Rīga,25,1984,Rīgas brīvostas pārvalde,Autotransporta administrators
1,Jaunā VIENOTĪBA,Artūrs Tjušs,Male,Latgale,13,1977,ZS Meža Grumuži,īpašnieks
1,Jaunā VIENOTĪBA,Barba Tuzika,Female,Rīga,20,1969,SIA Možums 1,Ārste
1,Jaunā VIENOTĪBA,Andris Valainis,Male,Latgale,15,1985,"SIA ""AGLYUNA MUNA SĀTA""",Valdes loceklis
1,Jaunā VIENOTĪBA,Toms Vāvere,Male,Rīga,21,1992,"VAS ""Latvijas Pasts""",Vecākais projektu vadītājs
1,Jaunā VIENOTĪBA,Ilze Vergina,Female,Vidzeme,6,1969,Smiltenes vidusskola,direktore
1,Jaunā VIENOTĪBA,Laura Vēverbrante,Female,Zemgale,15,1996,"Politiskā partija ""VIENOTĪBA""",Juriste
1,Jaunā VIENOTĪBA,Jaroslavs Volkovs,Male,Latgale,7,1982,"SIA ""Kind service""",valdes loceklis
1,Jaunā VIENOTĪBA,Atis Zakatistovs,Male,Latgale,8,1968,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Agita Zariņa-Stūre,Female,Vidzeme,8,1971,Valmieras Pārgaujas Valsts ģimnāzija,"direktore, skolotāja"
1,Jaunā VIENOTĪBA,Jānis Zariņš,Male,Vidzeme,11,1996,Rīgas valstspilsētas pašvaldība,"Frakcijas ""Jaunā Vienotība"" galvenais referents"
1,Jaunā VIENOTĪBA,Viesturs Zariņš,Male,Vidzeme,14,1979,"SIA ""KILN Estate""",Valdes loceklis
1,Jaunā VIENOTĪBA,Intars Zēns,Male,Kurzeme,13,1991,"SIA ""Coworking Liepaja""",Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Baiba Ziedone-Jansone,Female,Vidzeme,18,1955,Uzņēmēja tūrisma nozarē,pašnodarbinātā
1,Jaunā VIENOTĪBA,Ilze Žūriņa-Davidčuka,Female,Vidzeme,16,1977,Limbažu Bērnu un jauniešu centrs,Direktore
2,"""Latvijas Krievu savienība""",Vladislavs Aleksandrovs,Male,Kurzeme,11,1974,CB Lighthoude Ltd,Direktors
2,"""Latvijas Krievu savienība""",Juris Aleksejevs,Male,Latgale,3,1996,SIA FRAVIA,Celtniecības speciālists
2,"""Latvijas Krievu savienība""",Vjačeslavs Altuhovs,Male,Rīga,23,1935,Latvijas Krievu sociālkulturālā biedrība,priekšsēdētājs
2,"""Latvijas Krievu savienība""",Tatjana Andrijeca,Female,Rīga,10,2000,Studente,
2,"""Latvijas Krievu savienība""",Valentīna Babaka,Female,Kurzeme,6,1976,Labdarības un kultūras centrs FENIKS,pasākumu organizators
2,"""Latvijas Krievu savienība""",Rasma Bārbale,Female,Rīga,35,1960,"Bērnu pirmsskolas izglītības iestāde ""Purpuri""",aukle
2,"""Latvijas Krievu savienība""",Jeļena Beskorovainaja,Female,Zemgale,6,1963,SIA „VELEXAUTO”,Biroja administratore
2,"""Latvijas Krievu savienība""",Aleksandrs Bērziņš,Male,Kurzeme,3,1988,Labdarības un kultūras centrs FENIKS,labdarības darbības koordinators
2,"""Latvijas Krievu savienība""",Artjoms Bobiļevs,Male,Latgale,10,1999,Pašnodarbināta persona,kurjers
2,"""Latvijas Krievu savienība""",Anna Bondere,Female,Vidzeme,4,1980,Vēsturiskā mantojuma fonds,Sekretāre - referente
2,"""Latvijas Krievu savienība""",Vladimirs Buzajevs,Male,Rīga,38,1951,Latvijas cilvēktiesību komiteja,Līdzpriekšsēdētājs
2,"""Latvijas Krievu savienība""",Vinsenta Daņiļceva,Female,Kurzeme,8,1983,Māksliniece,Māksliniece
2,"""Latvijas Krievu savienība""",Viktors Dergunovs,Male,Rīga,29,1951,SIA „Medserviss”,Ārsts anesteziologs
2,"""Latvijas Krievu savienība""",Inna Djeri,Female,Rīga,2,1978,Rīgas valstspilsētas pašvaldība,Domes deputāte
2,"""Latvijas Krievu savienība""",Filips Dudins,Male,Rīga,19,1982,Biedrība Barikāžu Dalībnieku Savienība,Valdes loceklis
2,"""Latvijas Krievu savienība""",Irina Dviļa,Female,Vidzeme,10,1984,SIA Ceļu Tīkli,biroja administratore
2,"""Latvijas Krievu savienība""",Tatjana Favorska,Female,Rīga,20,1947,Biedrība “Krievu Sabiedrība Latvijā”,Valdes priekšsēdētāja
2,"""Latvijas Krievu savienība""",Oļegs Fjodorovs,Male,Rīga,33,1972,"A/S ""Grindeks''",apdares darbu speciālists
2,"""Latvijas Krievu savienība""",Timurs Galihanovs,Male,Vidzeme,17,1981,IK TIMURS GALIHANOVS,autovadītājs
2,"""Latvijas Krievu savienība""",Maksims Galkins,Male,Zemgale,5,1978,IK Maksims Galkins,vadītājs
2,"""Latvijas Krievu savienība""",Aleksandrs Giļmans,Male,Rīga,37,1953,Latvijas Antinacistiskā Komiteja,Valdes loceklis
2,"""Latvijas Krievu savienība""",Igors Gladkovs,Male,Rīga,32,1997,"RKF SIA ""L.E.O""",elektromontāžas speciālista palīgs
2,"""Latvijas Krievu savienība""",Igors Glazunovs,Male,Kurzeme,2,1941,partijas LKS Liepāja teritoriālā organizācija,projektu vadītājs
2,"""Latvijas Krievu savienība""",Mihails Gončarovs,Male,Rīga,25,1975,Rīgas domes Īpašuma departaments,galvenais speciālists
2,"""Latvijas Krievu savienība""",Oļegs Gončarovs,Male,Latgale,15,1965,"Rīgas pašvaldības sabiedrība ar ierobežotu atbildību ""Rīgas satiksme""",Ritošā sastāva speciālists
2,"""Latvijas Krievu savienība""",Deniss Gorba,Male,Rīga,9,1970,"SIA “LCK juristi""",valdes loceklis
2,"""Latvijas Krievu savienība""",Normunds Grostiņš,Male,Rīga,3,1964,Latvijas Nākotnes Pētījumu Institūts,Valdes priekšsēdētājs
2,"""Latvijas Krievu savienība""",Viktors Guščins,Male,Zemgale,13,1958,BDR Latvijas Krievu kopiena,prezidents
2,"""Latvijas Krievu savienība""",Vladimirs Hodakovskis,Male,Rīga,30,1940,Starptautiskā Sakaru Akadēmija,Akadēmiķis
2,"""Latvijas Krievu savienība""",Deniss Ignatjevs,Male,Zemgale,9,1987,SIA „AVENIJA VP”,Menedžeris
2,"""Latvijas Krievu savienība""",Igors Iļjins,Male,Latgale,9,1958,Cilvēktiesību līgu starptautiskās federācijas Latvijas Cilvēktiesību komiteja,"Daugavpils nodaļas jurists, konsultants"
2,"""Latvijas Krievu savienība""",Ņina Isačenkova,Female,Rīga,22,1951,Kultūras centrs “Vertman”,direktore
2,"""Latvijas Krievu savienība""",Oļegs Ivanovs,Male,Kurzeme,9,1985,Pašnodarbinātā persona,automehāniķis
2,"""Latvijas Krievu savienība""",Ilona Jakovele,Female,Vidzeme,11,1986,ONAP Olaines sociālais dienests Higiēnas centrs,sociāla darbiniece
2,"""Latvijas Krievu savienība""",Tatjana Jemeļjanova,Female,Rīga,31,1954,Biedrība Latvijas denacionalizēto un municipālo māju īrnieku un dzīvokļu īpašnieku asociācija,valdes locekle
2,"""Latvijas Krievu savienība""",Voldemārs Jeromans,Male,Zemgale,11,1963,Pašnodarbināta persona,Celtnieks
2,"""Latvijas Krievu savienība""",Natālija Jolkina,Female,Rīga,8,1947,CLSF Latvijas cilvēktiesību komiteja,Līdzpriekšsēdētāja
2,"""Latvijas Krievu savienība""",Viktors Jolkins,Male,Rīga,21,1976,Eiropas Parlamets,Eiropas Parlamenta deputātes palīgs
2,"""Latvijas Krievu savienība""",Ņina Kaplāne,Female,Rīga,12,1994,SIA “Biuro”,Finanšu analītiķis
2,"""Latvijas Krievu savienība""",Aleksandrs Klapins,Male,Vidzeme,3,1965,A/S Valmieras Stikla Šķiedra,Mehatronikas inženieris
2,"""Latvijas Krievu savienība""",Pēteris Koškins,Male,Vidzeme,13,1976,SIA Industrial Smart Solution,Celtnieks
2,"""Latvijas Krievu savienība""",Aleksejs Kovaļevskis,Male,Vidzeme,19,1971,SIA Vedic Institute of Healthcare and Research,valdes loceklis
2,"""Latvijas Krievu savienība""",Valentīna Kudrjavceva,Female,Zemgale,4,1967,SIA Edelīna AG,Valdes loceklis
2,"""Latvijas Krievu savienība""",Aleksejs Kurepins,Male,Rīga,34,1988,"SIA ""Kavis""",operators
2,"""Latvijas Krievu savienība""",Karīna Larionova,Female,Vidzeme,12,1986,SIA Apotheka,Farmaceita asistente
2,"""Latvijas Krievu savienība""",Andrejs Larionovs,Male,Latgale,8,1971,"Asociācija ""Latvijas černobiliešu savienība""",valdes loceklis
2,"""Latvijas Krievu savienība""",Sergejs Lavrenovs,Male,Latgale,12,1966,partijas LKS Daugavpils teritoriāla organizācijā,projektu koordinators
2,"""Latvijas Krievu savienība""",Andrejs Lukaševics,Male,Vidzeme,9,1982,"VAS «LDZ», EPR-1,EPED-1",Energodispečeris
2,"""Latvijas Krievu savienība""",Nataļja Ļebedeva,Female,Rīga,17,1959,Avīze Segodņa,žurnālistie
2,"""Latvijas Krievu savienība""",Anatolijs Ļitvinovs,Male,Zemgale,12,1946,NVO RETRO Jelgava,vadītājs
2,"""Latvijas Krievu savienība""",Julianna Matašova,Female,Vidzeme,15,1981,SIA MedProf,tirgvedības vadītājs
2,"""Latvijas Krievu savienība""",Tamāra Meļņikova,Female,Vidzeme,6,1969,Pašnodarbināta persona,Jurists
2,"""Latvijas Krievu savienība""",Igors Meļņikovs,Male,Rīga,5,1969,Pašnodarbināta persona,Jurists
2,"""Latvijas Krievu savienība""",Jekaterina Mitrofanova,Female,Rīga,14,1997,Eiropas Parlaments,Eiropas Parlamenta deputātes palīdze
2,"""Latvijas Krievu savienība""",Miroslavs Mitrofanovs,Male,Rīga,1,1966,Partija Latvijas Krievu savienība,Līdzpriekšsēdētājs
2,"""Latvijas Krievu savienība""",Maksims Molčanovs,Male,Rīga,15,2000,partija Latvijas Krievu savienība,Jauniešu projektu koordinators
2,"""Latvijas Krievu savienība""",Ņikita Molčanovs,Male,Rīga,27,2000,Bolt scooter service,operators
2,"""Latvijas Krievu savienība""",Sergejs Muļivanovs,Male,Kurzeme,10,1967,SIA RSS,Inženieris
2,"""Latvijas Krievu savienība""",Marina Ņepomņaščiha,Female,Rīga,24,1957,Cilvēktiesību līgu starptautiskās federācijas Latvijas Cilvēktiesību komiteja,projektu vadītāja asistente
2,"""Latvijas Krievu savienība""",Oļegs Orlovs,Male,Rīga,26,1947,Latvijas Nacionālā opera un balets,Solists
2,"""Latvijas Krievu savienība""",Jeļena Osipova,Female,Kurzeme,1,1980,partijas LKS Liepāja teritoriālā organizācija,vadītāja
2,"""Latvijas Krievu savienība""",Andrejs Ostapenko,Male,Kurzeme,7,1984,Pašnodarbinātā persona,autorestaurātors
2,"""Latvijas Krievu savienība""",Sergejs Padalko,Male,Zemgale,3,1970,"Jēkabpils krievu biedrība ""Rodņik""",valdes loceklis
2,"""Latvijas Krievu savienība""",Andrejs Pagors,Male,Zemgale,1,1986,Jelgavas valstspilsētas pašvaldība,Domes deputāts
2,"""Latvijas Krievu savienība""",Vladimirs Pedāns,Male,Latgale,6,1935,Ludzas pilsētas Namu pārvaldnieku sabiedriskā komiteja,vadītājs
2,"""Latvijas Krievu savienība""",Valērijs Petrovs,Male,Latgale,4,1965,SIA Interaccaunting,jurists
2,"""Latvijas Krievu savienība""",Marks Pliners,Male,Vidzeme,18,1967,pašnodarbināta persona,pašnodarbināta persona
2,"""Latvijas Krievu savienība""",Andrejs Pokuļs,Male,Latgale,16,1976,Rēzeknes valstspilsētas pāšvaldības pārvalde “Sociālais dienests” Pensionāru sociālo pakalpojumu centrs,Sociālais aprūpētājs
2,"""Latvijas Krievu savienība""",Aleksandrs Prutkovs,Male,Vidzeme,14,1967,partijas LKS Salaspils teritoriāla organizācija,vadītājs
2,"""Latvijas Krievu savienība""",Aleksejs Račko,Male,Vidzeme,8,1981,SIA Ceļu Tīkli,valdes loceklis
2,"""Latvijas Krievu savienība""",Vladislavs Rafaļskis,Male,Rīga,18,1959,Rīgas 40. vidusskola,skolotājs
2,"""Latvijas Krievu savienība""",Aļona Raščevska,Female,Latgale,7,1973,SIA KDM PRO,Direktore
2,"""Latvijas Krievu savienība""",Dmitrijs Ribņikovs,Male,Latgale,2,1977,Daugavpils pilsētas pašvaldība,Domes priekšsēdētāja pirmā vietnieka palīgs
2,"""Latvijas Krievu savienība""",Romans Rodionovs,Male,Kurzeme,5,1980,IK KODOLS-R,Valdes loceklis
2,"""Latvijas Krievu savienība""",Vladislavs Romanovs,Male,Zemgale,15,1984,SIA TOMRA COLLECTION LATVIJA,Servisa tehniķis
2,"""Latvijas Krievu savienība""",Eduards Romanovskis,Male,Vidzeme,16,1983,partija Latvijas krievu savienība,pasākumu koordinators
2,"""Latvijas Krievu savienība""",Arvīds Rubīns,Male,Latgale,14,1958,SIA Mikor,Būvdarbu vadītājs
2,"""Latvijas Krievu savienība""",Regīna Savicka,Female,Rīga,28,1987,SIA AB būve.lv,autovadītājs
2,"""Latvijas Krievu savienība""",Jurijs Seļezņovs,Male,Vidzeme,5,1964,SIA SELEZNOVS,Valdes loceklis
2,"""Latvijas Krievu savienība""",Aleksandrs Smirnovs,Male,Zemgale,7,1988,Jelgavas 5.vidusskola,Direktora vietnieks izglitības jomā
2,"""Latvijas Krievu savienība""",Jūlija Sohina,Female,Rīga,4,1977,Eiropas Parlaments,Eiropas Parlamenta deputātes palīdze
2,"""Latvijas Krievu savienība""",Vladimirs Sokolovs,Male,Rīga,7,1952,SIA “ S.O.V.A.”,Valdes loceklis
